frame,x,y,w,h
009711.jpg,754,399,57,85
009712.jpg,763,404,49,75
009713.jpg,765,411,64,72
009714.jpg,774,409,53,83
009715.jpg,770,425,70,63
009716.jpg,767,424,92,73
009717.jpg,781,423,82,70
009718.jpg,788,418,84,77
009719.jpg,786,418,84,79
009720.jpg,797,424,74,79
009721.jpg,826,441,53,71
009722.jpg,841,449,54,64
009723.jpg,843,446,60,65
009724.jpg,845,452,70,65
009725.jpg,849,457,79,57
009726.jpg,859,465,75,68
009727.jpg,872,467,76,65
009728.jpg,887,486,73,54
009729.jpg,885,485,86,46
009730.jpg,892,480,84,59
009731.jpg,897,486,88,53
009732.jpg,924,495,72,44
009733.jpg,927,490,78,52
009734.jpg,933,485,84,66
009735.jpg,946,483,86,73
009740.jpg,982,484,92,67
009741.jpg,994,479,86,84
009742.jpg,1004,490,89,78
009743.jpg,1012,484,92,83
009744.jpg,1018,488,80,71
009745.jpg,1028,497,88,67
009746.jpg,1023,485,97,68
009747.jpg,1036,488,93,77
009748.jpg,1047,501,86,61
009749.jpg,1051,501,98,64
009750.jpg,1054,490,95,78
009751.jpg,1065,511,96,56
009752.jpg,1070,506,105,62
009753.jpg,1074,509,96,57
009754.jpg,1077,503,95,73
009755.jpg,1089,515,96,56
009756.jpg,1084,515,93,54
009757.jpg,1089,518,92,49
009758.jpg,1100,515,83,48
009759.jpg,1104,508,90,54
009760.jpg,1106,508,83,64
009761.jpg,1109,516,77,50
009762.jpg,1107,511,76,51
009763.jpg,1116,517,71,51
009764.jpg,1118,512,70,55
009765.jpg,1118,506,84,67
009766.jpg,1128,511,66,61
009767.jpg,1120,504,83,70
009768.jpg,1131,505,68,67
009769.jpg,1142,513,56,51
009770.jpg,1135,502,63,69
009771.jpg,1146,508,61,65
009772.jpg,1135,496,72,80
009773.jpg,1155,497,54,85
009774.jpg,1148,490,61,86
009775.jpg,1161,492,46,85
009776.jpg,1168,492,46,86
009777.jpg,1168,488,51,86
009778.jpg,1173,491,50,87
009779.jpg,1166,496,53,73
009780.jpg,1164,497,61,82
009785.jpg,1157,491,74,80
009786.jpg,1143,486,84,89
009787.jpg,1151,490,71,82
009788.jpg,1153,491,69,89
009789.jpg,1145,490,71,77
009790.jpg,1138,479,73,89
009791.jpg,1139,476,72,100
009792.jpg,1144,480,72,93
009793.jpg,1135,478,79,95
009794.jpg,1132,469,78,95
009795.jpg,1137,481,64,90
009796.jpg,1126,467,64,101
009797.jpg,1127,472,63,105
009798.jpg,1128,469,63,106
009799.jpg,1119,462,66,118
009800.jpg,1118,476,60,101
009801.jpg,1111,464,73,116
009802.jpg,1108,469,67,101
009803.jpg,1116,470,55,101
009804.jpg,1104,469,65,105
009805.jpg,1098,463,57,111
009806.jpg,1100,470,53,100
009807.jpg,1096,461,57,101
009808.jpg,1095,463,53,95
009809.jpg,1084,459,66,101
009810.jpg,1091,466,56,93
009811.jpg,1081,457,56,94
009812.jpg,1076,460,59,98
009813.jpg,1071,461,58,101
009814.jpg,1067,461,50,98
009815.jpg,1071,459,48,98
009816.jpg,1063,461,53,94
009817.jpg,1061,459,43,95
009818.jpg,1055,445,52,110
009819.jpg,1048,451,47,100
009820.jpg,1039,459,48,104
009821.jpg,1037,461,44,90
009822.jpg,1024,457,46,104
009823.jpg,1022,465,36,88
009824.jpg,1009,452,36,97
009825.jpg,1006,453,43,99
009826.jpg,1004,451,34,95
009827.jpg,990,441,47,101
009828.jpg,975,448,49,100
009829.jpg,975,450,52,100
009830.jpg,966,446,43,97
009831.jpg,955,448,45,96
009832.jpg,953,448,34,99
009833.jpg,948,441,32,96
009834.jpg,939,443,51,103
009835.jpg,937,436,33,105
009836.jpg,926,440,40,96
009837.jpg,912,443,37,96
009838.jpg,905,431,41,104
009839.jpg,899,440,33,98
009840.jpg,894,435,44,106
009841.jpg,886,443,36,98
009842.jpg,872,445,44,90
009843.jpg,873,446,32,88
009844.jpg,865,452,37,74
009845.jpg,858,446,47,85
009846.jpg,859,448,36,84
009847.jpg,855,438,44,88
009848.jpg,841,438,56,97
009849.jpg,852,448,41,79
009850.jpg,843,444,47,88
009851.jpg,840,443,41,87
009852.jpg,845,445,37,87
009853.jpg,846,446,36,90
009854.jpg,837,445,46,85
009855.jpg,839,444,43,92
009856.jpg,844,448,41,85
009857.jpg,835,447,47,88
009858.jpg,834,443,46,89
009859.jpg,826,447,58,93
009860.jpg,836,452,47,85
009861.jpg,843,452,42,84
009862.jpg,840,451,40,90
009863.jpg,848,454,33,87
009864.jpg,845,453,38,87
009865.jpg,845,445,35,97
009866.jpg,841,454,49,90
009867.jpg,847,452,36,89
009868.jpg,850,452,39,90
009869.jpg,852,455,36,91
009870.jpg,850,456,41,89
009871.jpg,854,455,41,93
009872.jpg,852,461,45,87
009873.jpg,856,467,42,78
009874.jpg,852,457,52,88
009875.jpg,856,459,48,95
009876.jpg,850,463,59,93
009877.jpg,857,465,47,83
009878.jpg,861,466,46,90
009879.jpg,858,465,66,95
009880.jpg,862,466,52,89
009881.jpg,861,471,47,81
009882.jpg,865,473,54,86
009883.jpg,870,476,45,85
009884.jpg,867,478,52,84
009885.jpg,868,477,55,93
009886.jpg,863,479,59,87
009887.jpg,869,483,54,88
009888.jpg,870,482,49,91
009889.jpg,870,484,50,87
009890.jpg,865,485,53,92
009891.jpg,864,485,52,87
009892.jpg,863,485,56,91
009893.jpg,869,480,45,95
009894.jpg,863,486,58,94
009895.jpg,868,487,45,93
009896.jpg,870,491,43,85
009897.jpg,868,489,45,96
009898.jpg,865,489,44,90
009899.jpg,865,495,46,93
009900.jpg,866,495,44,86
009901.jpg,864,497,47,88
009902.jpg,865,498,53,86
009903.jpg,864,494,45,94
009904.jpg,863,492,48,96
009905.jpg,859,492,46,86
009906.jpg,859,486,52,99
009907.jpg,854,475,56,99
009908.jpg,858,485,44,90
009909.jpg,854,480,51,85
009910.jpg,854,485,47,85
009911.jpg,857,485,45,88
009912.jpg,855,483,42,87
009913.jpg,853,485,49,83
009914.jpg,854,480,46,87
009915.jpg,851,479,44,96
009916.jpg,850,476,47,96
009917.jpg,851,477,45,108
009918.jpg,854,476,45,101
009919.jpg,849,470,50,104
009920.jpg,846,472,48,91
009921.jpg,848,467,49,98
009922.jpg,842,469,47,83
009923.jpg,842,469,46,89
009924.jpg,842,465,41,93
009925.jpg,841,471,48,90
009926.jpg,838,460,49,101
009927.jpg,837,466,50,90
009928.jpg,842,471,40,85
009929.jpg,841,465,44,93
009930.jpg,843,467,45,82
009931.jpg,834,454,50,95
009932.jpg,839,459,52,100
009933.jpg,843,458,40,94
009934.jpg,843,462,45,95
009935.jpg,840,452,44,90
009936.jpg,840,453,49,104
009937.jpg,841,455,40,108
009938.jpg,838,451,62,100
009939.jpg,848,450,47,102
009940.jpg,850,450,43,101
009941.jpg,837,451,50,101
009942.jpg,850,455,39,96
009943.jpg,847,456,47,97
009944.jpg,847,442,44,109
009945.jpg,843,453,54,108
009946.jpg,851,458,36,92
009947.jpg,849,460,40,92
009948.jpg,851,456,36,94
009949.jpg,847,459,42,99
009950.jpg,851,453,41,98
009951.jpg,851,456,45,90
009952.jpg,855,451,37,102
009953.jpg,846,457,48,89
009954.jpg,859,456,37,98
009955.jpg,860,455,40,113
009956.jpg,850,448,51,108
009957.jpg,856,452,48,99
009958.jpg,855,447,42,107
009959.jpg,861,455,39,96
009960.jpg,855,451,44,102
009961.jpg,861,452,39,100
009962.jpg,850,448,54,108
009963.jpg,851,457,47,93
009964.jpg,855,456,41,95
009965.jpg,860,454,40,92
009966.jpg,855,452,42,91
009967.jpg,854,450,39,98
009968.jpg,851,450,37,89
009969.jpg,848,448,38,91
009970.jpg,843,451,48,84
009971.jpg,846,446,41,97
009972.jpg,842,453,44,96
009973.jpg,842,458,43,78
009974.jpg,844,459,37,79
009975.jpg,834,451,50,92
009976.jpg,839,458,41,90
009977.jpg,839,459,51,87
009978.jpg,838,445,48,103
009979.jpg,838,449,54,94
009980.jpg,844,455,44,89
009981.jpg,845,446,41,100
009982.jpg,844,445,44,85
009983.jpg,847,430,44,100
009984.jpg,847,446,39,80
009985.jpg,852,432,46,95
009986.jpg,852,436,44,88
009987.jpg,851,437,40,90
009988.jpg,856,437,50,93
009989.jpg,864,432,40,96
009990.jpg,854,431,52,96
009991.jpg,859,436,41,92
009992.jpg,859,428,37,96
009993.jpg,864,415,38,111
009994.jpg,865,424,36,95
009995.jpg,860,410,45,103
009996.jpg,860,406,43,117
009997.jpg,865,417,44,91
009998.jpg,877,413,30,97
009999.jpg,870,413,40,111
010000.jpg,867,411,42,106
010001.jpg,855,405,55,106
010002.jpg,866,408,45,103
010003.jpg,871,411,46,115
010004.jpg,875,420,38,98
010005.jpg,870,415,38,96
010006.jpg,863,407,46,96
010007.jpg,866,413,40,97
010008.jpg,870,415,35,90
010009.jpg,869,415,37,85
010010.jpg,870,409,37,97
010011.jpg,868,412,46,94
010012.jpg,867,414,37,94
010013.jpg,862,408,38,96
010014.jpg,864,415,47,96
010015.jpg,865,412,40,89
